order,park,landbird?,Common Name,Latin Name,4-letter code,Present in GULN point count,‘Present’ in NPSpecies & classified as park breeding,landbird or not,food,where,guild
783,PAIS,no,Red-footed Booby,Sula sula,RFBO,no,noa,not landbird,NA,NA,NA_NA
714,PAIS,no,Least Grebe,Tachybaptus dominicus,LEGR,no,yes,not landbird,NA,NA,NA_NA
1761,PAIS,yes,Tree Swallow,Tachycineta bicolor,TRES,no,noa,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
784,PAIS,no,Yellow-nosed Albatross,Thalassarche chlororhynchos,YNAL,no,noa,not landbird,NA,NA,NA_NA
715,PAIS,no,Royal Tern,Thalasseus maximus,ROYT,no,yes,not landbird,NA,NA,NA_NA
716,PAIS,no,Sandwich Tern,Thalasseus sandvicensis,SATE,no,yes,not landbird,NA,NA,NA_NA
1768,PAIS,yes,Bewick's Wren,Thryomanes bewickii,BEWR,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1773,PAIS,yes,Carolina Wren,Thryothorus ludovicianus,CARW,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1908,PAIS,yes,Curve-billed Thrasher,Toxostoma curvirostre,CBTH,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1911,PAIS,yes,Long-billed Thrasher,Toxostoma longirostre,LBTH,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1915,PAIS,yes,Brown Thrasher,Toxostoma rufum,BRTH,no,noa,,Insectivore, ground gleaner,Insectivore_ ground gleaner
717,PAIS,no,Lesser Yellowlegs,Tringa flavipes,LEYE,no,yes,not landbird,NA,NA,NA_NA
718,PAIS,no,Greater Yellowlegs,Tringa melanoleuca,GRYE,no,yes,not landbird,NA,NA,NA_NA
623,PAIS,no,Willet,Tringa semipalmata,WILL,yes,yes,not landbird,NA,NA,NA_NA
785,PAIS,no,Solitary Sandpiper,Tringa solitaria,SOSA,no,noa,not landbird,NA,NA,NA_NA
1922,PAIS,yes,House Wren,Troglodytes aedon,HOWR,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1930,PAIS,yes,Winter Wren,Troglodytes troglodytes,WIWR,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
786,PAIS,no,Buff-breasted Sandpiper,Tryngites subruficollis,BBSA,no,noa,not landbird,NA,NA,NA_NA
1937,PAIS,yes,American Robin,Turdus migratorius,AMRO,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1943,PAIS,yes,Couch's Kingbird,Tyrannus couchii,COKI,no,noa,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1945,PAIS,yes,Gray Kingbird,Tyrannus dominicensis,GRAK,no,noa,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1950,PAIS,yes,Scissor-tailed Flycatcher,Tyrannus forficatus,STFL,no,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1957,PAIS,yes,Fork-tailed Flycatcher,Tyrannus savana,FTFL,no,no,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1960,PAIS,yes,Eastern Kingbird,Tyrannus tyrannus,EAKI,no,noa,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1967,PAIS,yes,Western Kingbird,Tyrannus verticalis,WEKI,no,noa,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1972,PAIS,yes,Cassin's Kingbird,Tyrannus vociferans,CAKI,no,noa,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
719,PAIS,no,Barn Owl,Tyto alba,BANO,no,yes,not landbird,NA,NA,NA_NA
1974,PAIS,yes,Golden-winged Warbler,Vermivora chrysoptera,GWWA,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1980,PAIS,yes,Blue-winged Warbler,Vermivora cyanoptera,BWWA,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1988,PAIS,yes,Bell's Vireo,Vireo bellii,BEVI,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1994,PAIS,yes,Yellow-throated Vireo,Vireo flavifrons,YTVI,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1999,PAIS,yes,Yellow-green Vireo,Vireo flavoviridis,YGVI,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
2002,PAIS,yes,Warbling Vireo,Vireo gilvus,WAVI,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
2009,PAIS,yes,White-eyed Vireo,Vireo griseus,WEVI,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
2017,PAIS,yes,Red-eyed Vireo,Vireo olivaceus,REVI,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
2024,PAIS,yes,Philadelphia Vireo,Vireo philadelphicus,PHVI,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
2031,PAIS,yes,Blue-headed Vireo,Vireo solitarius,BHVI,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
2036,PAIS,yes,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,YHBL,no,noa,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
787,PAIS,no,Sabine's Gull,Xema sabini,SAGU,no,noa,not landbird,NA,NA,NA_NA
2042,PAIS,yes,White-winged Dove,Zenaida asiatica,WWDO,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
2048,PAIS,yes,Mourning Dove,Zenaida macroura,MODO,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
2056,PAIS,yes,White-throated Sparrow,Zonotrichia albicollis,WTSP,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
2063,PAIS,yes,White-crowned Sparrow,Zonotrichia leucophrys,WCSP,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
14,SAAN,no,Cooper's Hawk,Accipiter cooperii,COHA,yes,yes,not landbird,NA,NA,NA_NA
43,SAAN,no,Sharp-shinned Hawk,Accipiter striatus,SSHA,no,yes,not landbird,NA,NA,NA_NA
27,SAAN,no,Spotted Sandpiper,Actitis macularius,SPSA,yes,no,not landbird,NA,NA,NA_NA
79,SAAN,yes,Red-winged Blackbird,Agelaius phoeniceus,RWBL,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
20,SAAN,no,Wood Duck,Aix sponsa,WODU,yes,yes,not landbird,NA,NA,NA_NA
68,SAAN,no,Egyptian Goose,Alopochen aegyptiaca,EGGO,no,no,not landbird,NA,NA,NA_NA
98,SAAN,yes,Grasshopper Sparrow,Ammodramus savannarum,GRSP,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
40,SAAN,no,Northern Pintail,Anas acuta,NOPI,no,yes,not landbird,NA,NA,NA_NA
49,SAAN,no,American Wigeon,Anas americana,AMWI,no,yes,not landbird,NA,NA,NA_NA
62,SAAN,no,Northern Shoveler,Anas clypeata,NSHO,no,yes,not landbird,NA,NA,NA_NA
57,SAAN,no,Green-winged Teal,Anas crecca,GWTE,no,yes,not landbird,NA,NA,NA_NA
13,SAAN,no,Blue-winged Teal,Anas discors,BWTE,yes,yes,not landbird,NA,NA,NA_NA
23,SAAN,no,Mallard,Anas platyrhynchos,MALL,yes,no,not landbird,NA,NA,NA_NA
69,SAAN,no,Gadwall,Anas strepera,GADW,no,no,not landbird,NA,NA,NA_NA
51,SAAN,no,Anhinga,Anhinga anhinga,ANHI,no,yes,not landbird,NA,NA,NA_NA
36,SAAN,no,Greater White-fronted Goose,Anser albifrons,GWFG,no,yes,not landbird,NA,NA,NA_NA
105,SAAN,yes,American Pipit,Anthus rubescens,AMPI,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
111,SAAN,yes,Sprague's Pipit,Anthus spragueii,SPPI,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
114,SAAN,yes,Black-chinned Hummingbird,Archilochus alexandri,BCHU,yes,no,,Nectarivore,NA,Nectarivore_NA
116,SAAN,yes,Ruby-throated Hummingbird,Archilochus colubris,RTHU,no,yes,,Nectarivore,NA,Nectarivore_NA
5,SAAN,no,Great Egret,Ardea alba,GREG,yes,yes,not landbird,NA,NA,NA_NA
22,SAAN,no,Great Blue Heron,Ardea herodias,GBHE,yes,no,not landbird,NA,NA,NA_NA
123,SAAN,yes,Olive Sparrow,Arremonops rufivirgatus,OLSP,yes,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
126,SAAN,yes,Verdin,Auriparus flaviceps,VERD,yes,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
37,SAAN,no,Lesser Scaup,Aythya affinis,LESC,no,yes,not landbird,NA,NA,NA_NA
77,SAAN,no,Ring-necked Duck,Aythya collaris,RNDU,no,no,not landbird,NA,NA,NA_NA
129,SAAN,yes,Black-crested Titmouse,Baeolophus atricristatus,BCTI,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
44,SAAN,no,Upland Sandpiper,Bartramia longicauda,UPSA,no,yes,not landbird,NA,NA,NA_NA
138,SAAN,yes,Cedar Waxwing,Bombycilla cedrorum,CEDW,yes,yes,,Frugivore, upper-canopy gleaner,Frugivore_ upper-canopy gleaner
53,SAAN,no,Canada Goose,Branta canadensis,CANG,no,yes,not landbird,NA,NA,NA_NA
56,SAAN,no,Great Horned Owl,Bubo virginianus,GHOW,no,yes,not landbird,NA,NA,NA_NA
3,SAAN,no,Cattle Egret,Bubulcus ibis,CAEG,yes,yes,not landbird,NA,NA,NA_NA
33,SAAN,no,Bufflehead,Bucephala albeola,BUFF,no,yes,not landbird,NA,NA,NA_NA
9,SAAN,no,Red-tailed Hawk,Buteo jamaicensis,RTHA,yes,yes,not landbird,NA,NA,NA_NA
25,SAAN,no,Red-shouldered Hawk,Buteo lineatus,RSHA,yes,no,not landbird,NA,NA,NA_NA
52,SAAN,no,Broad-winged Hawk,Buteo platypterus,BWHA,no,yes,not landbird,NA,NA,NA_NA
28,SAAN,no,Swainson's Hawk,Buteo swainsoni,SWHA,yes,no,not landbird,NA,NA,NA_NA
6,SAAN,no,Green Heron,Butorides virescens,GRHE,yes,yes,not landbird,NA,NA,NA_NA
66,SAAN,no,Western Sandpiper,Calidris mauri,WESA,no,yes,not landbird,NA,NA,NA_NA
8,SAAN,no,Pectoral Sandpiper,Calidris melanotos,PESA,yes,yes,not landbird,NA,NA,NA_NA
59,SAAN,no,Least Sandpiper,Calidris minutilla,LESA,no,yes,not landbird,NA,NA,NA_NA
148,SAAN,yes,Cactus Wren,Campylorhynchus brunneicapillus,CACW,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
157,SAAN,yes,Whip-poor-will,Caprimulgus vociferus,EWPW,yes,no,,Insectivore,nocturnal,Insectivore_nocturnal
15,SAAN,no,Crested Caracara,Caracara cheriway,CRCA,yes,yes,not landbird,NA,NA,NA_NA
165,SAAN,yes,Canada Warbler,Cardellina canadensis,CAWA,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
172,SAAN,yes,Wilson's Warbler,Cardellina pusilla,WIWA,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
178,SAAN,yes,Northern Cardinal,Cardinalis cardinalis,NOCA,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
186,SAAN,yes,Pyrrhuloxia,Cardinalis sinuatus,PYRR,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
30,SAAN,no,Turkey Vulture,Cathartes aura,TUVU,yes,no,not landbird,NA,NA,NA_NA
195,SAAN,yes,Hermit Thrush,Catharus guttatus,HETH,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
202,SAAN,yes,Gray-cheeked Thrush,Catharus minimus,GCTH,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
209,SAAN,yes,Swainson's Thrush,Catharus ustulatus,SWTH,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
216,SAAN,yes,Canyon Wren,Catherpes mexicanus,CANW,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
217,SAAN,yes,Brown Creeper,Certhia americana,BRCR,no,yes,,Insectivore, bark gleaner,Insectivore_ bark gleaner
224,SAAN,yes,Belted Kingfisher,Ceryle alcyon,BEKI,no,yes,,Carnivore,freshwater-forager,Carnivore_freshwater-forager
231,SAAN,yes,Chimney Swift,Chaetura pelagica,CHSW,yes,no,,Insectivore,air hawker above canopy,Insectivore_air hawker above canopy
7,SAAN,no,Killdeer,Charadrius vociferus,KILL,yes,yes,not landbird,NA,NA,NA_NA
64,SAAN,no,Snow Goose,Chen caerulescens,SNGO,no,yes,not landbird,NA,NA,NA_NA
239,SAAN,yes,Green Kingfisher,Chloroceryle americana,GKIN,no,no,,Carnivore,freshwater-forager,Carnivore_freshwater-forager
241,SAAN,yes,Lark Sparrow,Chondestes grammacus,LASP,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
248,SAAN,yes,Lesser Nighthawk,Chordeiles acutipennis,LENI,yes,yes,,Insectivore,nocturnal,Insectivore_nocturnal
253,SAAN,yes,Common Nighthawk,Chordeiles minor,CONI,yes,yes,,Insectivore,nocturnal,Insectivore_nocturnal
67,SAAN,no,Bonaparte's Gull,Chroicocephalus philadelphia,BOGU,no,no,not landbird,NA,NA,NA_NA
61,SAAN,no,Northern Harrier,Circus cyaneus,NOHA,no,yes,not landbird,NA,NA,NA_NA
271,SAAN,yes,Yellow-billed Cuckoo,Coccyzus americanus,YBCU,yes,yes,,Insectivore,upper canopy foliage gleaner,Insectivore_upper canopy foliage gleaner
279,SAAN,yes,Black-Billed Cuckoo,Coccyzus erythropthalmus,BBCU,yes,no,,Insectivore,upper canopy foliage gleaner,Insectivore_upper canopy foliage gleaner
287,SAAN,yes,Northern Flicker,Colaptes auratus,NOFL,no,yes,,Insectivore,ground gleaner,Insectivore_ground gleaner
18,SAAN,no,Northern Bobwhite,Colinus virginianus,NOBO,yes,yes,not landbird,NA,NA,NA_NA
296,SAAN,yes,Rock Dove,Columba livia,ROPI,yes,yes,,Granivore,ground to undergrowth gleaner,Granivore_ground to undergrowth gleaner
303,SAAN,yes,Inca Dove,Columbina inca,INDO,yes,no,,Granivore,ground to undergrowth gleaner,Granivore_ground to undergrowth gleaner
307,SAAN,yes,Common Ground Dove,Columbina passerina,COGD,no,yes,,Granivore,ground to undergrowth gleaner,Granivore_ground to undergrowth gleaner
313,SAAN,yes,Olive-sided Flycatcher,Contopus cooperi,OSFL,no,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
317,SAAN,yes,Eastern Wood-pewee,Contopus virens,EAWP,yes,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
21,SAAN,no,Black Vulture,Coragyps atratus,BLVU,yes,yes,not landbird,NA,NA,NA_NA
325,SAAN,yes,American Crow,Corvus brachyrhynchos,AMCR,yes,yes,,Omnivore, ground forager,Omnivore_ ground forager
342,SAAN,yes,Blue Jay,Cyanocitta cristata,BLJA,yes,yes,,Omnivore, ground forager,Omnivore_ ground forager
348,SAAN,yes,Green Jay,Cyanocorax yncas,GREJ,no,yes,,Omnivore, arboreal forager,Omnivore_ arboreal forager
65,SAAN,no,Tundra Swan,Cygnus columbianus,TUSW,no,yes,not landbird,NA,NA,NA_NA
11,SAAN,no,Black-bellied Whistling-duck,Dendrocygna autumnalis,BBWD,yes,yes,not landbird,NA,NA,NA_NA
361,SAAN,yes,Gray Catbird,Dumetella carolinensis,GRCA,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
17,SAAN,no,Little Blue Heron,Egretta caerulea,LBHE,yes,yes,not landbird,NA,NA,NA_NA
26,SAAN,no,Snowy Egret,Egretta thula,SNEG,yes,no,not landbird,NA,NA,NA_NA
29,SAAN,no,Tricolored Heron,Egretta tricolor,TRHE,yes,no,not landbird,NA,NA,NA_NA
429,SAAN,yes,Alder Flycatcher,Empidonax alnorum,ALFL,yes,no,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
432,SAAN,yes,Yellow-bellied Flycatcher,Empidonax flaviventris,YBFL,no,no,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
438,SAAN,yes,Least Flycatcher,Empidonax minimus,LEFL,yes,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
445,SAAN,yes,Willow Flycatcher,Empidonax traillii,WIFL,yes,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
448,SAAN,yes,Acadian Flycatcher,Empidonax virescens,ACFL,no,no,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
45,SAAN,no,White Ibis,Eudocimus albus,WHIB,no,yes,not landbird,NA,NA,NA_NA
465,SAAN,yes,Brewer's Blackbird,Euphagus cyanocephalus,BRBL,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
39,SAAN,no,Merlin,Falco columbarius,MERL,no,yes,not landbird,NA,NA,NA_NA
72,SAAN,no,Peregrine Falcon,Falco peregrinus,PEFA,no,no,not landbird,NA,NA,NA_NA
47,SAAN,no,American Kestrel,Falco sparverius,AMKE,no,yes,not landbird,NA,NA,NA_NA
32,SAAN,no,American Coot,Fulica americana,AMCO,no,yes,not landbird,NA,NA,NA_NA
76,SAAN,no,Wilson's Snipe,Gallinago delicata,WISN,no,no,not landbird,NA,NA,NA_NA
471,SAAN,yes,Greater Roadrunner,Geococcyx californianus,GRRO,yes,no,,Carnivore,ground hawker,Carnivore_ground hawker
481,SAAN,yes,Mourning Warbler,Geothlypis philadelphia,MOWA,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
487,SAAN,yes,Common Yellowthroat,Geothlypis trichas,COYE,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
78,SAAN,no,Sandhill Crane,Grus canadensis,SACR,no,no,not landbird,NA,NA,NA_NA
495,SAAN,yes,House Finch,Haemorhous mexicanus,HOFI,yes,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
12,SAAN,no,Black-necked Stilt,Himantopus mexicanus,BNST,yes,yes,not landbird,NA,NA,NA_NA
517,SAAN,yes,Barn Swallow,Hirundo rustica,BARS,yes,no,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
531,SAAN,yes,Yellow-breasted Chat,Icteria virens,YBCH,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
539,SAAN,yes,Bullock's Oriole,Icterus bullockii,BUOR,yes,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
543,SAAN,yes,Baltimore Oriole,Icterus galbula,BAOR,yes,no,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
550,SAAN,yes,Audubon's Oriole,Icterus graduacauda,AUOR,no,yes,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
552,SAAN,yes,Orchard Oriole,Icterus spurius,OROR,yes,yes,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
31,SAAN,no,Mississippi Kite,Ictinia mississippiensis,MIKI,yes,no,not landbird,NA,NA,NA_NA
561,SAAN,yes,Dark-eyed Junco,Junco hyemalis,DEJU,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
567,SAAN,yes,Loggerhead Shrike,Lanius ludovicianus,LOSH,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
35,SAAN,no,Herring Gull,Larus argentatus,HERG,no,yes,not landbird,NA,NA,NA_NA
42,SAAN,no,Ring-billed Gull,Larus delawarensis,RBGU,no,yes,not landbird,NA,NA,NA_NA
575,SAAN,yes,Orange-crowned Warbler,Leiothlypis celata,OCWA,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
583,SAAN,yes,Tennessee Warbler,Leiothlypis peregrina,TEWA,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
591,SAAN,yes,Nashville Warbler,Leiothlypis ruficapilla,NAWA,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
598,SAAN,yes,White-tipped Dove,Leptotila verreauxi,WTDO,yes,yes,,Granivore,ground to undergrowth gleaner,Granivore_ground to undergrowth gleaner
55,SAAN,no,Franklin's Gull,Leucophaeus pipixcan,FRGU,no,yes,not landbird,NA,NA,NA_NA
38,SAAN,no,Long-billed Dowitcher,Limnodromus scolopaceus,LBDO,no,yes,not landbird,NA,NA,NA_NA
58,SAAN,no,Hooded Merganser,Lophodytes cucullatus,HOME,no,yes,not landbird,NA,NA,NA_NA
606,SAAN,yes,Ringed Kingfisher,Megaceryle torquata,RIKI,no,yes,,Carnivore,freshwater forager,Carnivore_freshwater forager
608,SAAN,yes,Golden-fronted Woodpecker,Melanerpes aurifrons,GFWO,yes,yes,,Insectivore,bark excavator,Insectivore_bark excavator
611,SAAN,yes,Red-bellied Woodpecker,Melanerpes carolinus,RBWO,no,yes,,Insectivore,bark excavator,Insectivore_bark excavator
19,SAAN,no,Wild Turkey,Meleagris gallopavo,WITU,yes,yes,not landbird,NA,NA,NA_NA
811,SAAN,yes,Lincoln's Sparrow,Melospiza lincolnii,LISP,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
819,SAAN,yes,Song Sparrow,Melospiza melodia,SOSP,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
827,SAAN,yes,Northern Mockingbird,Mimus polyglottos,NOMO,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
835,SAAN,yes,Black-and-white Warbler,Mniotilta varia,BAWW,no,yes,,Insectivore, bark gleaner,Insectivore_ bark gleaner
843,SAAN,yes,Bronzed Cowbird,Molothrus aeneus,BROC,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
847,SAAN,yes,Brown-headed Cowbird,Molothrus ater,BHCO,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
859,SAAN,yes,Ash-throated Flycatcher,Myiarchus cinerascens,ATFL,yes,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
864,SAAN,yes,Great Crested Flycatcher,Myiarchus crinitus,GCFL,yes,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
871,SAAN,yes,Brown-crested Flycatcher,Myiarchus tyrannulus,BCFL,yes,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
875,SAAN,yes,Monk Parakeet,Myiopsitta monachus,MOPA,yes,no,,Granivore,lower to upper canopy gleaner,Granivore_lower to upper canopy gleaner
10,SAAN,no,Yellow-crowned Night-Heron,Nyctanassa violacea,YCNH,yes,yes,not landbird,NA,NA,NA_NA
2,SAAN,no,Black-crowned Night-Heron,Nycticorax nycticorax,BCNH,yes,yes,not landbird,NA,NA,NA_NA
74,SAAN,no,Ruddy Duck,Oxyura jamaicensis,RUDU,no,no,not landbird,NA,NA,NA_NA
41,SAAN,no,Osprey,Pandion haliaetus,OSPR,no,yes,not landbird,NA,NA,NA_NA
943,SAAN,yes,Louisiana Waterthrush,Parkesia motacilla,LOWA,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
950,SAAN,yes,Northern Waterthrush,Parkesia noveboracensis,NOWA,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
957,SAAN,yes,House Sparrow,Passer domesticus,HOSP,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
965,SAAN,yes,Savannah Sparrow,Passerculus sandwichensis,SAVS,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
979,SAAN,yes,Blue Grosbeak,Passerina caerulea,BLGR,yes,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
987,SAAN,yes,Painted Bunting,Passerina ciris,PABU,yes,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
995,SAAN,yes,Indigo Bunting,Passerina cyanea,INBU,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
48,SAAN,no,American White Pelican,Pelecanus erythrorhynchos,AWPE,no,yes,not landbird,NA,NA,NA_NA
1005,SAAN,yes,Cave Swallow,Petrochelidon fulva,CASW,yes,yes,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
1008,SAAN,yes,Cliff Swallow,Petrochelidon pyrrhonota,CLSW,yes,no,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
4,SAAN,no,Double-crested Cormorant,Phalacrocorax auritus,DCCO,yes,yes,not landbird,NA,NA,NA_NA
24,SAAN,no,Neotropic Cormorant,Phalacrocorax brasilianus,NECO,yes,no,not landbird,NA,NA,NA_NA
1020,SAAN,yes,Common Poorwill,Phalaenoptilus nuttallii,COPO,no,yes,,Insectivore,nocturnal,Insectivore_nocturnal
75,SAAN,no,Wilson's Phalarope,Phalaropus tricolor,WIPH,no,no,not landbird,NA,NA,NA_NA
1022,SAAN,yes,Rose-breasted Grosbeak,Pheucticus ludovicianus,RBGR,no,yes,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
1034,SAAN,yes,Downy Woodpecker,Picoides pubescens,DOWO,yes,no,,Insectivore,bark excavator,Insectivore_bark excavator
1040,SAAN,yes,Ladder-backed Woodpecker,Picoides scalaris,LBWO,yes,yes,,Insectivore,bark excavator,Insectivore_bark excavator
1049,SAAN,yes,Rufous-sided Towhee,Pipilo erythrophthalmus,EATO,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1056,SAAN,yes,Spotted Towhee,Pipilo maculatus,SPTO,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1059,SAAN,yes,Western Tanager,Piranga ludoviciana,WETA,no,no,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
1066,SAAN,yes,Scarlet Tanager,Piranga olivacea,SCTA,no,yes,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
1073,SAAN,yes,Summer Tanager,Piranga rubra,SUTA,yes,no,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
1080,SAAN,yes,Great Kiskadee,Pitangus sulphuratus,GKIS,no,yes,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
63,SAAN,no,Roseate Spoonbill,Platalea ajaja,ROSP,no,yes,not landbird,NA,NA,NA_NA
60,SAAN,no,Lesser Golden Plover,Pluvialis dominica,AMGP,no,yes,not landbird,NA,NA,NA_NA
34,SAAN,no,Eared Grebe,Podiceps nigricollis,EAGR,no,yes,not landbird,NA,NA,NA_NA
73,SAAN,no,Pied-billed Grebe,Podilymbus podiceps,PBGR,no,no,not landbird,NA,NA,NA_NA
1084,SAAN,yes,Carolina Chickadee,Poecile carolinensis,CACH,yes,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
